submission_date,state,tot_cases
2020-08-23T00:00:00.000,OH,114802
2020-02-16T00:00:00.000,OH,0
2021-09-16T00:00:00.000,OH,1327614
2020-12-19T00:00:00.000,OH,614429
2020-10-04T00:00:00.000,OH,158907
2020-04-20T00:00:00.000,OH,12919
2020-04-22T00:00:00.000,OH,14117
2021-10-03T00:00:00.000,OH,1429745
2021-08-13T00:00:00.000,OH,1155322
2021-12-13T00:00:00.000,OH,1787029
2020-11-08T00:00:00.000,OH,250268
2021-09-29T00:00:00.000,OH,1407442
2020-08-01T00:00:00.000,OH,92087
2021-11-08T00:00:00.000,OH,1575319
2021-11-22T00:00:00.000,OH,1647237
2020-05-24T00:00:00.000,OH,31911
2020-09-05T00:00:00.000,OH,129785
2021-04-19T00:00:00.000,OH,1054807
2020-04-05T00:00:00.000,OH,4043
2020-11-06T00:00:00.000,OH,240178
2020-08-11T00:00:00.000,OH,102826
2021-03-31T00:00:00.000,OH,1017566
2020-11-03T00:00:00.000,OH,226138
2020-11-01T00:00:00.000,OH,219000
2020-09-02T00:00:00.000,OH,125767
2020-12-30T00:00:00.000,OH,690748
2021-10-25T00:00:00.000,OH,1524169
2021-11-03T00:00:00.000,OH,1556208
2020-11-04T00:00:00.000,OH,230209
2020-02-07T00:00:00.000,OH,0
2021-08-24T00:00:00.000,OH,1187878
2020-05-04T00:00:00.000,OH,20474
2021-07-28T00:00:00.000,OH,1125420
2021-10-11T00:00:00.000,OH,1470267
2021-03-13T00:00:00.000,OH,988298
2021-08-12T00:00:00.000,OH,1152590
2020-12-14T00:00:00.000,OH,570602
2020-08-30T00:00:00.000,OH,122262
2020-10-01T00:00:00.000,OH,155314
2021-05-08T00:00:00.000,OH,1082815
2021-04-24T00:00:00.000,OH,1063433
2020-06-23T00:00:00.000,OH,46127
2021-10-01T00:00:00.000,OH,1420206
2021-08-05T00:00:00.000,OH,1136934
2021-12-27T00:00:00.000,OH,1940000
2020-07-23T00:00:00.000,OH,80186
2021-06-22T00:00:00.000,OH,1109374
2021-06-06T00:00:00.000,OH,1104648
2020-07-19T00:00:00.000,OH,74932
2020-09-23T00:00:00.000,OH,146753
2020-11-30T00:00:00.000,OH,421063
2021-03-23T00:00:00.000,OH,1002822
2021-01-14T00:00:00.000,OH,807293
2021-12-12T00:00:00.000,OH,1781411
2021-05-03T00:00:00.000,OH,1075999
2020-04-17T00:00:00.000,OH,9107
2021-12-09T00:00:00.000,OH,1761008
2021-06-26T00:00:00.000,OH,1110546
2021-02-06T00:00:00.000,OH,918079
2020-06-26T00:00:00.000,OH,48638
2020-08-17T00:00:00.000,OH,109062
2021-04-13T00:00:00.000,OH,1043729
2021-05-20T00:00:00.000,OH,1094742
2021-07-16T00:00:00.000,OH,1116322
2020-02-12T00:00:00.000,OH,0
2021-05-26T00:00:00.000,OH,1099580
2021-01-02T00:00:00.000,OH,714673
2021-12-29T00:00:00.000,OH,1975723
2021-09-05T00:00:00.000,OH,1253198
2021-08-08T00:00:00.000,OH,1142330
2020-02-29T00:00:00.000,OH,0
2021-11-29T00:00:00.000,OH,1683472
2021-12-15T00:00:00.000,OH,1807539
2020-12-22T00:00:00.000,OH,637032
2021-10-02T00:00:00.000,OH,1426300
2021-08-28T00:00:00.000,OH,1207932
2020-09-11T00:00:00.000,OH,135326
2021-05-04T00:00:00.000,OH,1077284
2020-05-02T00:00:00.000,OH,19335
2021-12-06T00:00:00.000,OH,1735925
2020-03-31T00:00:00.000,OH,2199
2020-08-22T00:00:00.000,OH,114165
2021-09-26T00:00:00.000,OH,1390015
2021-06-28T00:00:00.000,OH,1110847
2021-12-08T00:00:00.000,OH,1752508
2021-01-22T00:00:00.000,OH,853982
2020-11-29T00:00:00.000,OH,414432
2020-11-12T00:00:00.000,OH,274457
2021-11-07T00:00:00.000,OH,1572197
2020-07-14T00:00:00.000,OH,67995
2021-04-04T00:00:00.000,OH,1024011
2020-08-20T00:00:00.000,OH,112003
2020-05-21T00:00:00.000,OH,30167
2021-08-02T00:00:00.000,OH,1131029
2020-12-16T00:00:00.000,OH,584766
2020-12-07T00:00:00.000,OH,484297
2021-04-18T00:00:00.000,OH,1053175
2021-05-31T00:00:00.000,OH,1102244
2020-10-12T00:00:00.000,OH,170179
2021-10-28T00:00:00.000,OH,1536005
2021-09-17T00:00:00.000,OH,1336061
2020-04-25T00:00:00.000,OH,15587
2021-02-17T00:00:00.000,OH,945107
2021-02-07T00:00:00.000,OH,920217
2021-11-30T00:00:00.000,OH,1690217
2020-09-16T00:00:00.000,OH,140518
2021-01-10T00:00:00.000,OH,777065
2021-05-22T00:00:00.000,OH,1096617
2020-12-02T00:00:00.000,OH,437928
2021-09-25T00:00:00.000,OH,1385749
2020-04-27T00:00:00.000,OH,16325
2021-02-18T00:00:00.000,OH,947389
2020-09-18T00:00:00.000,OH,142596
2021-04-01T00:00:00.000,OH,1020041
2020-12-25T00:00:00.000,OH,653650
2020-09-30T00:00:00.000,OH,153987
2021-01-09T00:00:00.000,OH,770977
2020-03-18T00:00:00.000,OH,88
2021-11-09T00:00:00.000,OH,1580271
2020-08-28T00:00:00.000,OH,120124
2020-07-10T00:00:00.000,OH,62856
2020-03-21T00:00:00.000,OH,247
2021-07-17T00:00:00.000,OH,1116808
2020-07-29T00:00:00.000,OH,87893
2020-04-04T00:00:00.000,OH,3739
2020-12-17T00:00:00.000,OH,596178
2021-02-10T00:00:00.000,OH,928631
2020-11-20T00:00:00.000,OH,335423
2020-11-23T00:00:00.000,OH,363304
2020-07-24T00:00:00.000,OH,81746
2021-02-19T00:00:00.000,OH,949695
2020-08-09T00:00:00.000,OH,100848
2020-07-05T00:00:00.000,OH,57151
2021-03-22T00:00:00.000,OH,1001194
2021-12-05T00:00:00.000,OH,1731003
2020-08-04T00:00:00.000,OH,95106
2020-05-16T00:00:00.000,OH,27474
2020-05-31T00:00:00.000,OH,35513
2021-01-15T00:00:00.000,OH,814442
2020-03-29T00:00:00.000,OH,1653
2020-05-17T00:00:00.000,OH,27923
2020-08-02T00:00:00.000,OH,93031
2021-07-18T00:00:00.000,OH,1117109
2021-11-24T00:00:00.000,OH,1660131
2021-03-29T00:00:00.000,OH,1013119
2021-01-01T00:00:00.000,OH,700380
2021-03-14T00:00:00.000,OH,989191
2021-12-02T00:00:00.000,OH,1708292
2021-01-20T00:00:00.000,OH,842433
2021-07-19T00:00:00.000,OH,1117769
2020-10-26T00:00:00.000,OH,200231
2021-06-07T00:00:00.000,OH,1104903
2021-09-09T00:00:00.000,OH,1276738
2021-09-20T00:00:00.000,OH,1352104
2021-11-16T00:00:00.000,OH,1614054
2020-08-07T00:00:00.000,OH,98675
2021-01-28T00:00:00.000,OH,883716
2021-01-16T00:00:00.000,OH,821507
2020-03-28T00:00:00.000,OH,1406
2020-03-16T00:00:00.000,OH,50
2020-09-20T00:00:00.000,OH,144309
2020-03-17T00:00:00.000,OH,67
2021-10-24T00:00:00.000,OH,1521844
2020-08-08T00:00:00.000,OH,99969
2021-03-01T00:00:00.000,OH,968874
2021-04-27T00:00:00.000,OH,1067262
2021-07-22T00:00:00.000,OH,1120120
2021-07-29T00:00:00.000,OH,1126625
2021-07-26T00:00:00.000,OH,1122647
2021-01-12T00:00:00.000,OH,792938
2021-06-09T00:00:00.000,OH,1105720
2020-09-19T00:00:00.000,OH,143547
2020-04-19T00:00:00.000,OH,11602
2020-09-25T00:00:00.000,OH,148894
2020-03-12T00:00:00.000,OH,5
2021-01-13T00:00:00.000,OH,799639
2020-12-26T00:00:00.000,OH,664668
2020-11-27T00:00:00.000,OH,399808
2020-06-25T00:00:00.000,OH,47651
2020-05-01T00:00:00.000,OH,18743
2021-11-13T00:00:00.000,OH,1600860
2021-02-16T00:00:00.000,OH,943291
2021-10-14T00:00:00.000,OH,1485514
2021-08-14T00:00:00.000,OH,1157782
2021-10-23T00:00:00.000,OH,1519304
2020-05-15T00:00:00.000,OH,26954
2020-07-22T00:00:00.000,OH,78742
2020-11-18T00:00:00.000,OH,318828
2020-11-17T00:00:00.000,OH,312443
2021-05-30T00:00:00.000,OH,1101934
2021-11-18T00:00:00.000,OH,1627051
2021-08-30T00:00:00.000,OH,1214986
2021-09-23T00:00:00.000,OH,1373275
2020-10-18T00:00:00.000,OH,181787
2021-06-25T00:00:00.000,OH,1110292
2021-10-08T00:00:00.000,OH,1458747
2021-11-20T00:00:00.000,OH,1639070
2021-02-26T00:00:00.000,OH,964380
2020-02-14T00:00:00.000,OH,0
2021-04-08T00:00:00.000,OH,1033606
2021-07-10T00:00:00.000,OH,1114036
2021-03-28T00:00:00.000,OH,1011622
2020-06-18T00:00:00.000,OH,43122
2020-05-06T00:00:00.000,OH,21576
2021-05-07T00:00:00.000,OH,1081518
2021-02-04T00:00:00.000,OH,910847
2020-02-21T00:00:00.000,OH,0
2020-03-05T00:00:00.000,OH,0
2020-07-28T00:00:00.000,OH,86497
2021-02-22T00:00:00.000,OH,955378
2021-10-30T00:00:00.000,OH,1542911
2021-07-06T00:00:00.000,OH,1112689
2020-05-09T00:00:00.000,OH,23697
2020-03-08T00:00:00.000,OH,0
2021-04-03T00:00:00.000,OH,1024011
2021-01-06T00:00:00.000,OH,742817
2020-07-17T00:00:00.000,OH,72280
2020-07-26T00:00:00.000,OH,84073
2020-09-04T00:00:00.000,OH,128444
2020-08-19T00:00:00.000,OH,110881
2021-04-29T00:00:00.000,OH,1070771
2021-10-05T00:00:00.000,OH,1439490
2020-04-23T00:00:00.000,OH,14694
2020-09-26T00:00:00.000,OH,150009
2020-09-12T00:00:00.000,OH,136568
2020-06-20T00:00:00.000,OH,44262
2020-02-18T00:00:00.000,OH,0
2021-03-20T00:00:00.000,OH,998819
2020-03-15T00:00:00.000,OH,37
2020-10-24T00:00:00.000,OH,195806
2020-08-29T00:00:00.000,OH,121340
2020-12-04T00:00:00.000,OH,456963
2020-02-02T00:00:00.000,OH,0
2020-10-19T00:00:00.000,OH,183624
2021-12-07T00:00:00.000,OH,1743801
2021-05-23T00:00:00.000,OH,1097300
2021-05-06T00:00:00.000,OH,1080121
2020-11-25T00:00:00.000,OH,382743
2020-12-12T00:00:00.000,OH,553461
2021-07-21T00:00:00.000,OH,1119298
2020-07-04T00:00:00.000,OH,56183
2020-06-16T00:00:00.000,OH,42010
2020-06-01T00:00:00.000,OH,35984
2020-09-03T00:00:00.000,OH,127112
2020-03-09T00:00:00.000,OH,0
2021-04-26T00:00:00.000,OH,1065702
2020-04-18T00:00:00.000,OH,10222
2021-06-10T00:00:00.000,OH,1106064
2020-09-29T00:00:00.000,OH,152907
2021-03-25T00:00:00.000,OH,1006171
2020-07-08T00:00:00.000,OH,60181
2020-09-14T00:00:00.000,OH,138484
2020-10-11T00:00:00.000,OH,168749
2020-02-22T00:00:00.000,OH,0
2020-08-25T00:00:00.000,OH,116495
2020-05-30T00:00:00.000,OH,35034
2021-12-01T00:00:00.000,OH,1699161
2020-12-10T00:00:00.000,OH,520112
2020-02-27T00:00:00.000,OH,0
2020-12-31T00:00:00.000,OH,700380
2021-06-17T00:00:00.000,OH,1108146
2020-09-10T00:00:00.000,OH,134086
2021-04-12T00:00:00.000,OH,1041389
2021-01-07T00:00:00.000,OH,753068
2021-09-19T00:00:00.000,OH,1347205
2021-06-29T00:00:00.000,OH,1111124
2021-05-01T00:00:00.000,OH,1074019
2021-06-19T00:00:00.000,OH,1108650
2020-06-14T00:00:00.000,OH,41148
2020-09-27T00:00:00.000,OH,150809
2020-12-24T00:00:00.000,OH,653650
2021-05-28T00:00:00.000,OH,1100972
2020-05-28T00:00:00.000,OH,33915
2021-10-10T00:00:00.000,OH,1467331
2021-05-15T00:00:00.000,OH,1090276
2020-09-08T00:00:00.000,OH,131992
2020-11-11T00:00:00.000,OH,267356
2021-01-30T00:00:00.000,OH,892781
2021-09-22T00:00:00.000,OH,1365800
2020-12-11T00:00:00.000,OH,542209
2021-03-06T00:00:00.000,OH,977736
2021-05-24T00:00:00.000,OH,1097866
2021-05-12T00:00:00.000,OH,1087182
2021-04-21T00:00:00.000,OH,1058395
2020-06-06T00:00:00.000,OH,38111
2020-04-28T00:00:00.000,OH,16769
2020-03-03T00:00:00.000,OH,0
2020-03-14T00:00:00.000,OH,5
2020-06-08T00:00:00.000,OH,38837
2021-03-19T00:00:00.000,OH,997336
2020-12-05T00:00:00.000,OH,467432
2020-02-13T00:00:00.000,OH,0
2021-11-10T00:00:00.000,OH,1585798
2021-01-03T00:00:00.000,OH,721481
2021-09-02T00:00:00.000,OH,1235089
2021-06-27T00:00:00.000,OH,1110700
2021-12-26T00:00:00.000,OH,1931908
2021-09-11T00:00:00.000,OH,1294162
2020-10-22T00:00:00.000,OH,190430
2021-07-23T00:00:00.000,OH,1120922
2020-11-26T00:00:00.000,OH,382743
2021-03-07T00:00:00.000,OH,978471
2021-03-10T00:00:00.000,OH,983486
2021-07-02T00:00:00.000,OH,1112088
2021-08-20T00:00:00.000,OH,1175340
2020-11-14T00:00:00.000,OH,290243
2020-09-24T00:00:00.000,OH,147744
2021-07-14T00:00:00.000,OH,1115242
2021-12-14T00:00:00.000,OH,1796951
2021-10-27T00:00:00.000,OH,1531815
2020-08-12T00:00:00.000,OH,104248
2021-04-05T00:00:00.000,OH,1026929
2020-03-23T00:00:00.000,OH,442
2020-10-14T00:00:00.000,OH,173665
2020-06-03T00:00:00.000,OH,36792
2021-12-28T00:00:00.000,OH,1955403
2021-04-20T00:00:00.000,OH,1056606
2020-12-18T00:00:00.000,OH,605862
2021-11-21T00:00:00.000,OH,1642867
2021-06-20T00:00:00.000,OH,1108902
2021-04-28T00:00:00.000,OH,1068985
2020-04-26T00:00:00.000,OH,15963
2020-10-21T00:00:00.000,OH,188005
2021-05-21T00:00:00.000,OH,1095746
2020-10-15T00:00:00.000,OH,175843
2020-08-16T00:00:00.000,OH,108287
2021-05-19T00:00:00.000,OH,1093534
2021-08-29T00:00:00.000,OH,1211895
2021-05-05T00:00:00.000,OH,1078734
2021-09-01T00:00:00.000,OH,1228002
2021-05-18T00:00:00.000,OH,1092616
2021-02-09T00:00:00.000,OH,925350
2020-12-15T00:00:00.000,OH,579357
2020-02-19T00:00:00.000,OH,0
2020-07-11T00:00:00.000,OH,64214
2021-10-21T00:00:00.000,OH,1511760
2021-10-15T00:00:00.000,OH,1490451
2020-07-01T00:00:00.000,OH,52865
2020-03-06T00:00:00.000,OH,0
2020-02-25T00:00:00.000,OH,0
2021-12-23T00:00:00.000,OH,1896577
2020-10-03T00:00:00.000,OH,157966
2020-12-21T00:00:00.000,OH,629354
2021-07-20T00:00:00.000,OH,1118513
2021-08-11T00:00:00.000,OH,1149318
2020-02-01T00:00:00.000,OH,0
2020-09-09T00:00:00.000,OH,132965
2021-05-14T00:00:00.000,OH,1089357
2020-02-08T00:00:00.000,OH,0
2021-06-02T00:00:00.000,OH,1102890
2021-10-22T00:00:00.000,OH,1515838
2020-06-24T00:00:00.000,OH,46759
2021-11-17T00:00:00.000,OH,1620436
2020-06-22T00:00:00.000,OH,45537
2020-07-07T00:00:00.000,OH,58904
2021-09-14T00:00:00.000,OH,1311518
2021-02-28T00:00:00.000,OH,967422
2021-02-01T00:00:00.000,OH,899079
2020-04-16T00:00:00.000,OH,8414
2020-05-10T00:00:00.000,OH,24081
2021-12-22T00:00:00.000,OH,1880588
2020-03-04T00:00:00.000,OH,0
2021-08-26T00:00:00.000,OH,1197873
2020-09-06T00:00:00.000,OH,130558
2021-02-14T00:00:00.000,OH,939350
2020-02-20T00:00:00.000,OH,0
2020-07-09T00:00:00.000,OH,61331
2020-11-19T00:00:00.000,OH,326615
2020-04-07T00:00:00.000,OH,4782
2021-09-07T00:00:00.000,OH,1262018
2020-04-14T00:00:00.000,OH,7280
2021-01-27T00:00:00.000,OH,878284
2020-06-07T00:00:00.000,OH,38476
2020-02-26T00:00:00.000,OH,0
2021-09-10T00:00:00.000,OH,1285757
2021-03-16T00:00:00.000,OH,992223
2020-04-30T00:00:00.000,OH,18027
2021-06-30T00:00:00.000,OH,1111324
2020-06-15T00:00:00.000,OH,41576
2020-04-21T00:00:00.000,OH,13725
2020-04-11T00:00:00.000,OH,6250
2021-04-25T00:00:00.000,OH,1064306
2020-11-15T00:00:00.000,OH,298096
2021-11-01T00:00:00.000,OH,1547788
2020-07-06T00:00:00.000,OH,57956
2020-03-24T00:00:00.000,OH,564
2021-03-24T00:00:00.000,OH,1004670
2020-10-13T00:00:00.000,OH,171626
2021-02-15T00:00:00.000,OH,941265
2021-08-25T00:00:00.000,OH,1192478
2021-08-15T00:00:00.000,OH,1159759
2021-07-07T00:00:00.000,OH,1113006
2020-10-27T00:00:00.000,OH,202740
2021-01-25T00:00:00.000,OH,868656
2020-10-08T00:00:00.000,OH,164262
2020-11-24T00:00:00.000,OH,371908
2020-10-10T00:00:00.000,OH,167458
2021-09-06T00:00:00.000,OH,1257142
2020-02-03T00:00:00.000,OH,0
2021-08-06T00:00:00.000,OH,1138600
2021-01-05T00:00:00.000,OH,735003
2021-03-17T00:00:00.000,OH,993681
2020-07-03T00:00:00.000,OH,55257
2021-07-24T00:00:00.000,OH,1121609
2020-08-14T00:00:00.000,OH,106557
2020-09-17T00:00:00.000,OH,141585
2020-06-05T00:00:00.000,OH,37758
2021-06-14T00:00:00.000,OH,1107225
2020-10-05T00:00:00.000,OH,159964
2020-07-25T00:00:00.000,OH,83184
2021-03-18T00:00:00.000,OH,995785
2021-12-18T00:00:00.000,OH,1839501
2020-08-24T00:00:00.000,OH,115651
2020-11-05T00:00:00.000,OH,235170
2020-06-12T00:00:00.000,OH,40424
2020-09-13T00:00:00.000,OH,137405
2020-06-13T00:00:00.000,OH,40848
2020-04-29T00:00:00.000,OH,17303
2021-07-08T00:00:00.000,OH,1113383
2020-06-10T00:00:00.000,OH,39575
2020-04-12T00:00:00.000,OH,6518
2021-04-16T00:00:00.000,OH,1050112
2020-07-16T00:00:00.000,OH,70601
2021-02-24T00:00:00.000,OH,959995
2021-04-11T00:00:00.000,OH,1039455
2021-06-12T00:00:00.000,OH,1106796
2021-07-27T00:00:00.000,OH,1123964
2021-08-17T00:00:00.000,OH,1164808
2020-05-11T00:00:00.000,OH,24777
2021-02-02T00:00:00.000,OH,902736
2020-05-26T00:00:00.000,OH,33006
2020-02-04T00:00:00.000,OH,0
2020-02-24T00:00:00.000,OH,0
2021-04-10T00:00:00.000,OH,1037600
2021-06-15T00:00:00.000,OH,1107521
2021-10-07T00:00:00.000,OH,1452096
2021-10-04T00:00:00.000,OH,1433957
2020-03-13T00:00:00.000,OH,5
2021-04-14T00:00:00.000,OH,1045945
2020-12-28T00:00:00.000,OH,675044
2021-07-05T00:00:00.000,OH,1112499
2021-11-15T00:00:00.000,OH,1608415
2021-11-25T00:00:00.000,OH,1660131
2021-11-02T00:00:00.000,OH,1551705
2020-09-07T00:00:00.000,OH,130558
2020-06-27T00:00:00.000,OH,49455
2021-08-16T00:00:00.000,OH,1161573
2021-08-10T00:00:00.000,OH,1145925
2021-08-18T00:00:00.000,OH,1168111
2021-08-07T00:00:00.000,OH,1140917
2021-11-27T00:00:00.000,OH,1673496
2020-05-25T00:00:00.000,OH,32477
2020-06-11T00:00:00.000,OH,40004
2021-07-13T00:00:00.000,OH,1114835
2020-07-12T00:00:00.000,OH,65592
2021-10-16T00:00:00.000,OH,1494160
2021-05-09T00:00:00.000,OH,1083609
2020-10-29T00:00:00.000,OH,208937
2021-08-23T00:00:00.000,OH,1183761
2021-09-30T00:00:00.000,OH,1413972
2020-04-13T00:00:00.000,OH,6975
2020-03-30T00:00:00.000,OH,1933
2021-05-10T00:00:00.000,OH,1084322
2021-01-21T00:00:00.000,OH,849704
2021-12-17T00:00:00.000,OH,1829367
2020-09-28T00:00:00.000,OH,151802
2020-07-13T00:00:00.000,OH,66853
2021-07-12T00:00:00.000,OH,1114491
2021-02-11T00:00:00.000,OH,931437
2020-12-20T00:00:00.000,OH,622806
2020-04-01T00:00:00.000,OH,2547
2021-04-22T00:00:00.000,OH,1060119
2021-04-17T00:00:00.000,OH,1052099
2020-05-12T00:00:00.000,OH,25250
2021-02-13T00:00:00.000,OH,937541
2021-11-19T00:00:00.000,OH,1633480
2021-10-20T00:00:00.000,OH,1507676
2021-08-21T00:00:00.000,OH,1178792
2021-05-29T00:00:00.000,OH,1101557
2021-12-11T00:00:00.000,OH,1776439
2021-05-02T00:00:00.000,OH,1075004
2021-11-04T00:00:00.000,OH,1560695
2021-05-11T00:00:00.000,OH,1085733
2021-09-08T00:00:00.000,OH,1268841
2021-12-21T00:00:00.000,OH,1867724
2020-12-23T00:00:00.000,OH,644822
2020-02-15T00:00:00.000,OH,0
2021-03-08T00:00:00.000,OH,979725
2020-04-02T00:00:00.000,OH,2902
2021-06-08T00:00:00.000,OH,1105329
2021-06-11T00:00:00.000,OH,1106411
2020-08-31T00:00:00.000,OH,123157
2020-06-28T00:00:00.000,OH,50309
2020-08-13T00:00:00.000,OH,105426
2020-03-07T00:00:00.000,OH,0
2021-01-31T00:00:00.000,OH,895792
2020-03-10T00:00:00.000,OH,3
2020-03-02T00:00:00.000,OH,0
2020-05-18T00:00:00.000,OH,28272
2021-02-23T00:00:00.000,OH,958153
2021-03-05T00:00:00.000,OH,976230
2021-10-26T00:00:00.000,OH,1527976
2020-10-02T00:00:00.000,OH,156809
2020-06-21T00:00:00.000,OH,44808
2021-08-27T00:00:00.000,OH,1202728
2021-10-31T00:00:00.000,OH,1545327
