Date,AK_V,AL_V,AR_V,AZ_V,CA_V,CO_V,CT_V,DC_V,DE_V,FL_V,GA_V,IA_V,ID_V,IL_V,IN_V,KS_V,KY_V,LA_V,MA_V,MD_V,ME_V,MI_V,MN_V,MO_V,MS_V,MT_V,NC_V,ND_V,NE_V,NH_V,NJ_V,NM_V,NV_V,NY_V,OH_V,OK_V,OR_V,PA_V,RI_V,SC_V,SD_V,TN_V,TX_V,UT_V,VA_V,VT_V,WA_V,WI_V,WV_V,WY_V
2020-12-27,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,125.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,16.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,56.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,,0.0,3.0,0.0,0.0,0.0,1.0,0.0
2020-12-28,1.0,0.0,0.0,8.0,10.0,0.0,2.0,0.0,2.0,47.0,0.0,1.0,0.0,1.0,82.0,0.0,0.0,1.0,1.0,7.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,7.0,,1.0,2.0,0.0,0.0,2.0,0.0,16.0
2020-12-29,1.0,6.0,9.0,1.0,69.0,0.0,7.0,3.0,0.0,373.0,79.0,0.0,1.0,33.0,54.0,0.0,0.0,4.0,0.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,9.0,1.0,0.0,85.0,4.0,18.0,0.0,77.0,0.0,8.0,0.0,0.0,,0.0,7.0,0.0,9.0,2.0,1.0,0.0
2020-12-30,6.0,6.0,0.0,21.0,85.0,2.0,2.0,2.0,1.0,860.0,122.0,3.0,72.0,119.0,0.0,1.0,71.0,23.0,14.0,28.0,12.0,17.0,14.0,9.0,2.0,19.0,10.0,0.0,0.0,0.0,0.0,22.0,7.0,122.0,1.0,1.0,2.0,99.0,0.0,6.0,0.0,472.0,,3.0,7.0,0.0,21.0,5.0,1.0,3.0
2020-12-31,4.0,13.0,5.0,40.0,92.0,10.0,4.0,1.0,6.0,719.0,101.0,4.0,21.0,92.0,63.0,1.0,121.0,8.0,7.0,57.0,0.0,19.0,19.0,26.0,6.0,23.0,2.0,0.0,12.0,0.0,64.0,8.0,4.0,368.0,5.0,26.0,0.0,113.0,0.0,2.0,2.0,242.0,,7.0,34.0,1.0,18.0,8.0,1.0,11.0
2021-01-01,3.0,12.0,6.0,56.0,37.0,6.0,0.0,13.0,3.0,197.0,1.0,1.0,0.0,45.0,47.0,8.0,106.0,12.0,1.0,24.0,19.0,43.0,20.0,19.0,9.0,11.0,10.0,1.0,0.0,0.0,22.0,10.0,0.0,84.0,4.0,30.0,6.0,65.0,0.0,1.0,0.0,78.0,,6.0,43.0,5.0,14.0,4.0,0.0,3.0
2021-01-02,14.0,2.0,7.0,27.0,66.0,2.0,8.0,1.0,0.0,57.0,1.0,0.0,6.0,18.0,1.0,3.0,25.0,10.0,0.0,12.0,8.0,10.0,17.0,18.0,1.0,0.0,0.0,4.0,123.0,0.0,4.0,79.0,4.0,69.0,3.0,0.0,0.0,7.0,0.0,0.0,5.0,23.0,,7.0,0.0,0.0,16.0,4.0,1.0,0.0
2021-01-03,0.0,0.0,3.0,22.0,19.0,0.0,0.0,0.0,4.0,163.0,0.0,0.0,0.0,5.0,44.0,0.0,1.0,1.0,36.0,32.0,0.0,5.0,2.0,21.0,0.0,1.0,1.0,31.0,57.0,0.0,3.0,2.0,0.0,36.0,2.0,1.0,12.0,38.0,1.0,1.0,1.0,148.0,,2.0,49.0,26.0,18.0,1.0,1.0,0.0
2021-01-04,10.0,1.0,0.0,15.0,15.0,12.0,1.0,4.0,0.0,323.0,0.0,0.0,0.0,10.0,174.0,0.0,5.0,5.0,66.0,73.0,21.0,3.0,11.0,21.0,3.0,10.0,33.0,2.0,0.0,3.0,63.0,60.0,1.0,70.0,1.0,0.0,28.0,23.0,0.0,0.0,0.0,6.0,,1.0,199.0,0.0,10.0,20.0,0.0,0.0
2021-01-05,0.0,1.0,0.0,95.0,159.0,18.0,28.0,138.0,1.0,2172.0,59.0,1.0,108.0,202.0,484.0,1.0,48.0,457.0,324.0,348.0,97.0,20.0,105.0,681.0,94.0,158.0,330.0,0.0,8.0,10.0,398.0,60.0,0.0,1430.0,26.0,54.0,42.0,207.0,16.0,15.0,3.0,223.0,,1.0,954.0,2.0,46.0,88.0,110.0,5.0
2021-01-06,93.0,87.0,6.0,421.0,1881.0,917.0,702.0,240.0,9.0,4310.0,505.0,166.0,242.0,594.0,880.0,87.0,86.0,2461.0,946.0,627.0,256.0,344.0,589.0,1293.0,411.0,666.0,1159.0,152.0,4.0,10.0,1187.0,624.0,261.0,3235.0,107.0,763.0,405.0,1332.0,83.0,227.0,14.0,6.0,,248.0,1737.0,12.0,517.0,419.0,2399.0,4.0
2021-01-07,186.0,1801.0,13.0,1229.0,4069.0,1566.0,200.0,332.0,166.0,8935.0,751.0,1727.0,686.0,2636.0,1596.0,707.0,1596.0,4010.0,1939.0,1203.0,278.0,2070.0,419.0,2056.0,661.0,820.0,3975.0,791.0,2545.0,34.0,2392.0,1293.0,717.0,6016.0,406.0,1516.0,339.0,1839.0,231.0,493.0,565.0,2003.0,,204.0,2386.0,85.0,1061.0,1141.0,4413.0,63.0
2021-01-08,937.0,177.0,24.0,1673.0,11511.0,3545.0,1284.0,72.0,141.0,10443.0,1787.0,1097.0,66.0,17682.0,2485.0,4167.0,483.0,4365.0,4519.0,1675.0,804.0,3632.0,2073.0,3720.0,1057.0,1675.0,5654.0,796.0,4008.0,114.0,3018.0,2805.0,1496.0,7828.0,437.0,3187.0,535.0,4832.0,254.0,2021.0,1230.0,124.0,,261.0,3293.0,253.0,1985.0,2093.0,3285.0,293.0
2021-01-09,1502.0,4210.0,41.0,2499.0,24467.0,11045.0,398.0,500.0,592.0,12719.0,2594.0,2240.0,627.0,21363.0,190.0,833.0,1992.0,4995.0,6405.0,2615.0,1345.0,236.0,3473.0,5181.0,1218.0,51.0,7603.0,1556.0,2577.0,203.0,4770.0,3094.0,1908.0,10968.0,477.0,10071.0,1025.0,12936.0,719.0,519.0,2150.0,9158.0,,34.0,5038.0,521.0,3173.0,7024.0,2053.0,458.0
2021-01-10,1997.0,531.0,30.0,2689.0,36494.0,138.0,903.0,620.0,436.0,3193.0,67.0,793.0,3118.0,11809.0,8544.0,2468.0,2137.0,1679.0,138.0,2030.0,1544.0,12151.0,4293.0,2961.0,1080.0,2039.0,3586.0,1694.0,736.0,44.0,3393.0,4119.0,2489.0,4630.0,138.0,1508.0,2121.0,7202.0,867.0,74.0,2626.0,4239.0,,22.0,1993.0,476.0,4803.0,1529.0,444.0,14.0
2021-01-11,577.0,8.0,29.0,2294.0,20279.0,198.0,1179.0,47.0,784.0,2012.0,40.0,312.0,597.0,7124.0,8739.0,1348.0,1050.0,305.0,4660.0,734.0,1413.0,1433.0,1036.0,552.0,371.0,699.0,2946.0,260.0,302.0,157.0,1817.0,1062.0,1889.0,2712.0,238.0,1435.0,1127.0,706.0,717.0,33.0,1092.0,3466.0,,2088.0,2275.0,5.0,3917.0,478.0,631.0,624.0
2021-01-12,184.0,789.0,1655.0,1452.0,13170.0,165.0,1405.0,547.0,133.0,892.0,7728.0,1460.0,1532.0,11297.0,209.0,4024.0,1472.0,3387.0,4993.0,3657.0,13.0,11478.0,384.0,5706.0,323.0,975.0,8611.0,393.0,2261.0,139.0,6484.0,613.0,15.0,8266.0,393.0,475.0,1094.0,3357.0,446.0,8039.0,165.0,162.0,,88.0,4745.0,169.0,2973.0,3989.0,884.0,39.0
2021-01-13,785.0,2102.0,11340.0,4441.0,34297.0,53.0,349.0,597.0,1052.0,23319.0,5546.0,1796.0,1602.0,11080.0,16093.0,2305.0,498.0,5426.0,241.0,3986.0,2439.0,1622.0,8092.0,6508.0,2755.0,134.0,7939.0,565.0,1980.0,32.0,7439.0,1502.0,88.0,14179.0,523.0,4975.0,3058.0,16152.0,1029.0,145.0,650.0,5980.0,,1411.0,5445.0,1033.0,5345.0,422.0,2629.0,537.0
2021-01-14,1063.0,2604.0,6330.0,4987.0,37317.0,75.0,3307.0,517.0,1043.0,13956.0,5054.0,1553.0,1661.0,9228.0,8300.0,1175.0,3373.0,4103.0,11522.0,3765.0,19.0,22398.0,9242.0,6402.0,1698.0,1082.0,8008.0,837.0,690.0,246.0,6808.0,3481.0,5037.0,14999.0,613.0,6767.0,3246.0,21979.0,1177.0,7161.0,1656.0,12032.0,,1310.0,5469.0,1010.0,5586.0,4894.0,2473.0,935.0
2021-01-15,2468.0,1803.0,852.0,4810.0,33745.0,60.0,47.0,370.0,825.0,8204.0,61.0,858.0,1056.0,9680.0,4182.0,1164.0,899.0,1824.0,168.0,2097.0,7.0,4284.0,7630.0,3202.0,53.0,957.0,3871.0,336.0,322.0,14.0,3886.0,5368.0,1416.0,5582.0,1892.0,948.0,3773.0,829.0,978.0,5385.0,182.0,44.0,,935.0,3381.0,813.0,4299.0,5887.0,1231.0,551.0
2021-01-16,565.0,1812.0,990.0,3422.0,26044.0,55.0,3185.0,161.0,50.0,9425.0,4438.0,652.0,589.0,2481.0,86.0,81.0,807.0,86.0,4842.0,3300.0,16.0,76.0,4267.0,2639.0,1146.0,284.0,4806.0,428.0,49.0,188.0,3092.0,217.0,589.0,15761.0,5191.0,579.0,2990.0,7467.0,532.0,2492.0,116.0,8056.0,,1374.0,1821.0,239.0,6391.0,6594.0,796.0,36.0
2021-01-17,446.0,408.0,118.0,5723.0,19172.0,35.0,114.0,300.0,406.0,5996.0,2692.0,347.0,60.0,1605.0,43.0,665.0,613.0,1658.0,912.0,1419.0,1574.0,10087.0,2539.0,2011.0,35.0,63.0,78.0,3.0,438.0,27.0,840.0,1254.0,546.0,5972.0,1063.0,503.0,2138.0,3013.0,584.0,2575.0,2.0,1828.0,,1482.0,1633.0,740.0,3448.0,2372.0,65.0,75.0
